Node1,Relationship,Node2
9E619,ChildOf,9E619.w
9E619,ChildOf,9E619.x
9E619,ChildOf,9E619.y
9E,ChildOf,9E620
9E,ChildOf,9E990
9E,ChildOf,9E991
9A004.d,specifiedBy,3A001.b.1.a.4
9A004.d,specifiedBy,3A002.g
9A004.d,specifiedBy,5A001.a.1
9A004.d,specifiedBy,5A001.b.3
9A004.d,specifiedBy,5A002.c
9A004.d,specifiedBy,5A002.e
9A004.d,specifiedBy,6A002.a.1
9A004.d,specifiedBy,6A002.a.2
9A004.d,specifiedBy,6A002.b
9A004.d,specifiedBy,6A002.d
9A004.d,specifiedBy,6A003.b
9A004.d,specifiedBy,6A004.c
9A004.d,specifiedBy,6A004.e
9A004.d,specifiedBy,6A008.d
9A004.d,specifiedBy,6A008.e
9A004.d,specifiedBy,6A008.k
9A004.d,specifiedBy,6A008
9A004.d,specifiedBy,9A010.c
9A010.a.1,specifiedBy,1C010.e
9A010.a.1,specifiedBy,1C008
9A010.a.1,specifiedBy,1C009.b
9A010.a.2.a,specifiedBy,1C007
9A010.a.2.b,specifiedBy,1C010
9A010.a.2.c,specifiedBy,1C002.a
9A010.a.3,specifiedBy,1C007
9A010.b,specifiedBy,9A005
9A010.b,specifiedBy,9A009
9A010.b.1,specifiedBy,1C010.e
9A010.b.1,specifiedBy,1C008
9A010.b.1,specifiedBy,1C009.b
9A010.b.2.a,specifiedBy,1C007
9A010.b.2.b,specifiedBy,1C010
9A010.b.2.c,specifiedBy,1C002.a
9A010.b.3,specifiedBy,1C007
9B010,specifiedBy,9A012
9D003,specifiedBy,9E003.h
9D003,specifiedBy,9A001
9D003,specifiedBy,9A003
9D003,specifiedBy,9A101
9D003,specifiedBy,9A101.b
9D003,specifiedBy,9A106.d
9D003,specifiedBy,9B604
9D003,specifiedBy,9B610
9D003,specifiedBy,9B619
9D003,specifiedBy,9B990
9D003,specifiedBy,9B991
9D004.b.1.a,specifiedBy,9E003.a
9D004.b.1.a,specifiedBy,9E003.h
9D004.b.1.a,specifiedBy,9E003.i
9D004.b.1.b,specifiedBy,9E003.a
9D004.b.1.b,specifiedBy,9E003.h
9D004.c,specifiedBy,9B001.a
9D004.c,specifiedBy,9B001.c
9D004.e,specifiedBy,9A012
9D005,specifiedBy,9A004.e
9D005,specifiedBy,9A004.f
9D005,specifiedBy,9D515
9E003.a.2.d,specifiedBy,9E003.c
9E003.a.3.b.1.b,specifiedBy,1C010
9E003.a.3.b.1.c,specifiedBy,1C002.a
9E003.a.3.b.2,specifiedBy,1C007
9E003.c,specifiedBy,9E003.a.1
9E003.c,specifiedBy,9E003.a.2
9E003.c,specifiedBy,9E003.a.5
9A515.a,enumeratedIn,9A004.u
9A610.x,enumeratedIn,9A610
9A610.x,enumeratedIn,9A610.y
9A610.x,enumeratedIn,9A619.y
9A610.x,enumeratedIn,3A611.y
9A619.x,enumeratedIn,9A619
9A619.x,enumeratedIn,9A619.c
9A619.x,enumeratedIn,3A611.y
9A619.x,enumeratedIn,9A610.y
9A619.x,enumeratedIn,9A619.y
9B515.a,enumeratedIn,9A004.u
9B515.a,enumeratedIn,9A515.a
9B515.b,enumeratedIn,9A515.a
9B610,enumeratedIn,9A610
9B610.a,enumeratedIn,9A610
9B610.a,enumeratedIn,9A610.y
9B610.b,enumeratedIn,9A610
9B610.b,enumeratedIn,9A610.y
9B619,enumeratedIn,9A619
9B619.a,enumeratedIn,9A619
9B619.a,enumeratedIn,9A619.y
9B619.b,enumeratedIn,9A619
9B619.b,enumeratedIn,9A619.y
9B619.y,enumeratedIn,9A619
9B619.y,enumeratedIn,9A619.y
9C619.a,enumeratedIn,9A619
9C619.a,enumeratedIn,9A619.y
9D515.y,enumeratedIn,9A515.y
9D610.y,enumeratedIn,9A610.y
9D619.y,enumeratedIn,9A619.y
9D619.y,enumeratedIn,9B619.y
9E515.y,enumeratedIn,9A515.y
9E515.y,enumeratedIn,9D515.y
9E610.y,enumeratedIn,9A610.y
9E610.y,enumeratedIn,9D610.y
9A001.a,controlledBy,9E003.a
9A001.a,controlledBy,9E003.h
9A001.a,controlledBy,9E003.i
9A003,controlledBy,9E003.a
9A003,controlledBy,9E003.h
9A003,controlledBy,9E003.i
9A006,controlledBy,9E003.k
9A003.a,controlledBy,9A001
9A005,controlledBy,9A006
9A012.b.3,controlledBy,9A012.a
9A101,controlledBy,9A001
9A106,controlledBy,9A006
9A107,controlledBy,9A007
9A108,controlledBy,9A008
9A109,controlledBy,9A009
9A118,controlledBy,9A011
9A119,controlledBy,9A111
9A119,controlledBy,9A005
9A119,controlledBy,9A007
9A119,controlledBy,9A009
9A119,controlledBy,9A105
9A119,controlledBy,9A107
9A119,controlledBy,9A109
9A515.d,controlledBy,9A004.v
9A515.d,controlledBy,9A515
9A515.e,controlledBy,9A004.u
9A515.e,controlledBy,9A515
9A515.x,controlledBy,9A515
9A604.b,controlledBy,9A604.a
9A610.e,controlledBy,9A610.a
9A610.f,controlledBy,9A610.a
9A610.g,controlledBy,9A610.a
9A610.h,controlledBy,9A610.a
9A610.u,controlledBy,9A610.a
9A610.v,controlledBy,9A610.a
9A610.w.1,controlledBy,9A610.a
9A610.y.30,controlledBy,9A610.h
9A620.x,controlledBy,9A620
9A991,controlledBy,9A001
9A991,controlledBy,9A101
9B002.b,controlledBy,9E003.h
9B002.b,controlledBy,9E003.i
9B115,controlledBy,9A101
9B116,controlledBy,9A012
9B117,controlledBy,9A101
9B610.c,controlledBy,9A610.a
9B991,controlledBy,9B001
9B991.b,controlledBy,9E003.c
9C610,controlledBy,9A610
9C619,controlledBy,9A619
9D001,controlledBy,9D003
9D001,controlledBy,9D004
9D001,controlledBy,9A001
9D001,controlledBy,9A004
9D001,controlledBy,9A012
9D001,controlledBy,9A101
9D001,controlledBy,9A101.b
9D001,controlledBy,9A106.d
9D001,controlledBy,9A110
9D001,controlledBy,9A120
9D001,controlledBy,9B604
9D001,controlledBy,9B610
9D001,controlledBy,9B619
9D001,controlledBy,9B990
9D001,controlledBy,9B991
9D002,controlledBy,9D003
9D002,controlledBy,9D004
9D002,controlledBy,9A001
9D002,controlledBy,9A004
9D002,controlledBy,9A012
9D002,controlledBy,9A101
9D002,controlledBy,9A101.b
9D002,controlledBy,9A106.d
9D002,controlledBy,9A110
9D002,controlledBy,9A120
9D002,controlledBy,9B604
9D002,controlledBy,9B610
9D002,controlledBy,9B619
9D002,controlledBy,9B990
9D002,controlledBy,9B991
9D018,controlledBy,9A018
9D101,controlledBy,9B104
9D101,controlledBy,9B105
9D101,controlledBy,9B106
9D101,controlledBy,9B116
9D101,controlledBy,9B117
9D103,controlledBy,9A005
9D103,controlledBy,9A007
9D103,controlledBy,9A009
9D103,controlledBy,9A105
9D103,controlledBy,9A106
9D103,controlledBy,9A107
9D103,controlledBy,9A108
9D103,controlledBy,9A109
9D103,controlledBy,9A116
9D103,controlledBy,9A119
9D104,controlledBy,9A001
9D104,controlledBy,9A012
9D104,controlledBy,9A101
9D104,controlledBy,9A101.b
9D104,controlledBy,9A106.d
9D515.a,controlledBy,9A515
9D515.a,controlledBy,9A515.d
9D515.a,controlledBy,9B515
9D515.b.1,controlledBy,9A515
9D515.b.2,controlledBy,9A515
9D515.b.3,controlledBy,9A515
9D515.b.4,controlledBy,9A515
9D515.b.6,controlledBy,9A515
9D515.d,controlledBy,9A515.d
9D515.e,controlledBy,9A515.e
9D604,controlledBy,9A604
9D604,controlledBy,9B604
9D604.a,controlledBy,9A604
9D604.a,controlledBy,9B604
9D610,controlledBy,9A610
9D610,controlledBy,9B610
9D610,controlledBy,9C610
9D610.a,controlledBy,9A610
9D610.a,controlledBy,9B610
9D610.a,controlledBy,9C610
9D610.b.6,controlledBy,9A610.a
9D610.b.7,controlledBy,9A610.a
9D619,controlledBy,9A619
9D619,controlledBy,9B619
9D619,controlledBy,9C619
9D619.a,controlledBy,9A619
9D619.a,controlledBy,9A619.y
9D619.a,controlledBy,9B619
9D619.a,controlledBy,9B619.y
9D619.a,controlledBy,"9C619,"
9D990,controlledBy,9A990
9D990,controlledBy,9B990
9D991,controlledBy,9A991
9D991,controlledBy,9B991
9E001,controlledBy,9A004
9E001,controlledBy,9A012
9E001,controlledBy,9B604
9E001,controlledBy,9B610
9E001,controlledBy,9B619
9E001,controlledBy,9B990
9E001,controlledBy,9B991
9E001,controlledBy,9D001
9E001,controlledBy,9D004
9E001,controlledBy,9D101
9E001,controlledBy,9D104
9E002,controlledBy,9A004
9E002,controlledBy,9B117
9E002,controlledBy,9B604
9E002,controlledBy,9B610
9E002,controlledBy,9B619
9E002,controlledBy,9B990
9E002,controlledBy,9B991
9E003.a.3.b.1.a,controlledBy,1C007
9E003.a.3.c.3,controlledBy,1C010.e
9E003.a.3.c.3,controlledBy,1C008
9E003.a.8,controlledBy,1C002.b
9E003.f.1,controlledBy,1C007
9E018,controlledBy,9A018
9E101,controlledBy,9A012
9E101,controlledBy,9A101
9E101,controlledBy,9A101.b
9E101,controlledBy,9A106.d
9E101,controlledBy,9A110
9E101,controlledBy,9C110
9E101,controlledBy,9D101
9E101,controlledBy,9A012
9E101,controlledBy,9A101
9E101,controlledBy,9A101.b
9E101,controlledBy,9A106.d
9E101,controlledBy,9A110
9E101,controlledBy,9C110
9E101,controlledBy,9D101
9E101,controlledBy,9D104
9E102,controlledBy,9A004
9E102,controlledBy,9A012
9E102,controlledBy,9A101
9E102,controlledBy,9A101.b
9E102,controlledBy,9A106.d
9E102,controlledBy,9A110
9E102,controlledBy,9B105
9E102,controlledBy,9B106
9E102,controlledBy,9B115
9E102,controlledBy,9B116
9E102,controlledBy,9D101
9E102,controlledBy,9D104
9E515.a,controlledBy,9A515
9E515.a,controlledBy,9A515.a.1
9E515.a,controlledBy,9B515
9E515.a,controlledBy,9D515.a
9E515.b,controlledBy,9D515.b
9E515.d,controlledBy,9A515.d
9E515.e,controlledBy,9A515.e
9E515.f,controlledBy,9A515.a.1
9E604,controlledBy,9A604
9E604,controlledBy,9B604
9E604,controlledBy,9D604
9E604.a,controlledBy,9A604
9E604.a,controlledBy,9B604
9E604.a,controlledBy,9D604
9E610,controlledBy,9A610
9E610,controlledBy,9B610
9E610,controlledBy,9C610
9E610.a,controlledBy,9D610
9E610.b.6,controlledBy,9A610.a
9E610.b.7,controlledBy,9A610.a
9E619,controlledBy,9A619
9E619,controlledBy,9B619
9E619,controlledBy,9C619
9E619,controlledBy,9D619
9E619.a,controlledBy,9A619
9E619.a,controlledBy,9A619.y
9E619.a,controlledBy,9B619
9E619.a,controlledBy,9B619.y
9E619.a,controlledBy,9C619
9E619.a,controlledBy,9D619
9E619.a,controlledBy,9D619.y
9E619.b.10,controlledBy,9C619.b
9E619.y,controlledBy,9A619.y
9E619.y,controlledBy,9B619.y
9E619.y,controlledBy,9D619.y
9E990,controlledBy,9A990
9E990,controlledBy,9B990
9E991,controlledBy,9A991
9E991,controlledBy,9B991
